model,sentence,terms,n_pct
Qwen3.5-4B (ZS),BAVARIA Industriekapital AG 's 2006 revenues were EUR 333 mi,rose | dropped | were | EUR | EBITDA,1
Qwen3.5-4B (ZS),"Following the registration , the share capital of Biotie is ",is | share capital | rose | dropped,0
Qwen3.5-4B (ZS),The sellers were EOSS Innovationsmanagement and a group of p,EOSS Innovations | private individuals,0
Qwen3.5-4B (ZS),This resulted in improved sales figures in Sweden .,improved,0
Qwen3.5-4B (ZS),4 February 2011 - Finnish broadband data communication syste,rocketed,1
Qwen3.5-4B (ZS),The total capital of funds managed by the bank decreased by ,decreased | decreased by,2
Qwen3.5-4B (ZS),The soapstone deposits in the Medvezhyegorsk area are expect,increase | considerably,3
Qwen3.5-4B (ZS),The company moved to an operating profit of EUR10 .9 m versu,versus | to profit,1
Qwen3.5-4B (ZS),Earnings per share EPS amounted to EUR0 .01 .,profit | rose | earnings,0
Qwen3.5-4B (ZS),The Elcoteq group recently announced that the last three mon,positive | loss | dropped to | major loss | positive,0
Qwen3.5-4B (ZS),Work on the assignment has already started and is due for co,started | due | to profit | rose to,0
Qwen3.5-4B (ZS),The value of the contracts is about EUR 3.3 mn .,rose | dropped | about,0
Qwen3.5-4B (ZS),Net sales fell by 33 % from the third quarter of 2008 to EUR,fell by 33% | fell | sales fell,3
Qwen3.5-4B (ZS),The company 's net profit rose 11.4 % on the year to 82.2 mi,rose | up,2
Qwen3.5-4B (ZS),The company 's board of directors will propose a dividend of,board | dividend,0
Qwen3.5-4B (ZS),He joins Technopolis from KONE where he has held various pos,business | development | director,0
Qwen3.5-4B (ZS),LCS 's services cover the whole life cycle of software and i,services | development,2
Qwen3.5-4B (ZS),"The portfolio comprises of 118,000 m2 of leasable space with",comprises | let | government,0
Qwen3.5-4B (ZS),Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 200,fell,2
Qwen3.5-4B (ZS),"Ruukki 's delivery includes steel structures , including ins",includes | installation,1
Qwen3.5-4B (ZS),UPM-Kymmene said its has ` not indicated any interest in any,profit | drop | has not indicated any interest,1
Qwen3.5-4B (ZS),"Profit for the period totalled EUR 0.8 mn , down from EUR 1.",down from,0
Qwen3.5-4B (ZS),"BasWare Invoice Processing , BasWare Contract Matching , Bas",part of | are | suite,1
Qwen3.5-4B (ZS),Panostaja owns a 68.77 pct of share capital and the voting r,share capital | voting rights,0
Qwen3.5-4B (ZS),Closing of such transaction took place today .,profit | rose | dropped,0
Qwen3.5-4B (ZS),Finnish Cargotec 's Kalmar has received a significant order ,significant | order,1
Qwen3.5-4B (ZS),Delivery is expected to take place later this month .,neutral,0
Qwen3.5-4B (ZS),"The number of class A shares remains unchanged at 9,526,089 ",rose | dropped | unchanged,2
Qwen3.5-4B (ZS),Technopolis has approximately 130 customer companies in Jyva,approximately,1
Qwen3.5-4B (ZS),Cargotec Germany GmbH has been awarded a contract by Stadtve,awarded | awarded contract | rose to | dropped to,0
Qwen3.5-4B (ZS),"( ADP News ) - Dec 11 , 2008 - Finnish construction and engi",won | order,1
Qwen3.5-4B (ZS),Profit for the period increased from EUR 2.9 mn to EUR 10.5 ,increased from,1
Qwen3.5-4B (ZS),"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat ",published twice a week | appears in,0
Qwen3.5-4B (ZS),The terms and conditions of the year 2003 stock option schem,terms and conditions | published,0
Qwen3.5-4B (ZS),More than 80 special events in the three counties during fou,and its | branch,1
Qwen3.5-4B (ZS),10 February 2011 - Finnish media company Sanoma Oyj HEL : SA,to profit,1
Qwen3.5-4B (ZS),"In January-September 2007 , the group 's net sales from cont",rose to,1
Qwen3.5-4B (ZS),Completion of the transaction is subject to a final agreemen,subject to | final agreement,0
Qwen3.5-4B (ZS),Viking Line manages well with its current ferries .,manages well,1
Qwen3.5-4B (ZS),Motorola Inc. of the United States came second with shipment,rose | dropped,1
Qwen3.5-4B (ZS),The Extraordinary General Meeting is expected to take place ,no later than | is expected | take place,0
Qwen3.5-4B (ZS),Stichting Pensioenfonds ABP : 4 118 122 shares representing ,share capital | voting rights | rose | dropped | profit,0
Qwen3.5-4B (ZS),The order also includes start-up and commissioning services ,neutral | profit | down | start-up and commissioning services,0
Qwen3.5-4B (ZS),The objective is that trading in the shares will commence on,is | will,1
Qwen3.5-4B (ZS),The figure includes the change in the fair value of the prop,rose | dropped | change | fair value,1
Qwen3.5-4B (ZS),The net sales of Healthcare Trade business in 2009 were EUR ,rose | dropped,0
Qwen3.5-4B (ZS),These moderate but significant changes resulted in a signifi,moderate but significant,0
Qwen3.5-4B (ZS),"Finnish lifting equipment maker Kone Oyj said on October 4 ,",won an order,1
Qwen3.5-4B (ZS),Den Bosch-based TomTom is Europe 's largest maker of automot,is | and | profit | rose | dropped,0
Qwen3.5-4B (ZS),"OTHER  North-Rhine Westphalia - Is to issue a benchmark , 5 ",fixed | issue,1
Qwen3.5-4B (ZS),Poyry is a global consulting and engineering firm focusing o,is | and | sectors | profit | rose | dropped,0
Qwen3.5-4B (ZS),It estimates the operating profit to further improve from th,further improve,1
Qwen3.5-4B (ZS),"EPS for the quarter came in at 0.36 eur , up from 0.33 eur a",up | up from | ahead of forecast,0
Qwen3.5-4B (ZS),"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn i",down from,3
Qwen3.5-4B (ZS),"In a letter to Economic Affairs Minister , the listed Estoni",asks for approval | cut in port fees,1
Qwen3.5-4B (ZS),"The decision reflects the underutilisation of the line , whi",underutilisation | medical | automotive | loss | decline,0
Qwen3.5-4B (ZS),It was decided that the auditors are reimbursed according to,neutral | according to invoice | decided | auditors,1
Qwen3.5-4B (ZS),The annual net sales of the unit is some EUR 5 million and i,rose | dropped,0
Qwen3.5-4B (ZS),Changes being announced today will be effective after the cl,rise | fall | Changes being announced,1
Qwen3.5-4B (ZS),( A spokesperson told WWD to expect a 50-50 mix of clothing ,rose | dropped | clothing | home,1
Qwen3.5-4B (ZS),The 2500-passenger ferry will have dimensions of 185 m lengt,dimensions | draught,1
Qwen3.5-4B (ZS),The brokerage said 2006 has seen a ` true turning point ' in,true turning point | better pricing,1
Qwen3.5-4B (ZS),"Payment for acquired shares will be made in cash , and the p",profit | rose | dropped | will be | made,0
Qwen3.5-4B (ZS),"Swedish , Finnish and Danish listed companies are organized ",segments | organized,0
Qwen3.5-4B (ZS),Operating profit for continuing operations fell to EUR 48.3 ,fell to | down from | dropped to,1
Qwen3.5-4B (ZS),Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 200,fell | fell to,0
Qwen3.5-4B (ZS),Marathon estimates the value of its remaining stake in Prota,stake | value | profit,0
Qwen3.5-4B (ZS),"In the Czech Republic , the smaller profiling unit at Ostrav",dropped | down | will be | and,1
Qwen3.5-4B (ZS),Samsung currently occupies third place and lost ground durin,lost | dropped,1
Qwen3.5-4B (ZS),"Operating profit surged to EUR21m from EUR106 ,000 .",surged,1
Qwen3.5-4B (ZS),"The company serves customers in various industries , includi",resources | including,0
Qwen3.5-4B (ZS),The idea of saving electricity in data transfer is still a n,still a new one,0
Qwen3.5-4B (ZS),The new Kroksberg railway tunnel will be built on a new sect,profit | rise,0
Qwen3.5-4B (ZS),"Group EBIT for the first half was EUR13 .6 m US$ 17.8 m , fa",falling short,0
Qwen3.5-4B (ZS),Financial Statements include the consolidated financial stat,Financial Statements | Auditors | profit | rose | dropped,2
Qwen3.5-4B (ZS),Net sales of the Vegetable Oil Business rose to EUR 10.6 mn ,rose to,2
Qwen3.5-4B (ZS),"For example , net sales increased by 5.9 % from the first qu",increased,2
Qwen3.5-4B (ZS),"For 2009 , net profit was EUR3m and the company paid a divid",net profit | dividend,0
Qwen3.5-4B (ZS),"For the first nine months of 2010 , the company 's net profi",rose | rose to | down from | dropped to,0
Qwen3.5-4B (ZS),Biohit already services many current Genesis customers and t,services | expected to expand,2
Qwen3.5-4B (ZS),`` We could be there .,could,0
Qwen3.5-4B (ZS),They can be used to control the speed of electric motors use,control | speed | power,0
Qwen3.5-4B (ZS),"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn ",up | up from,0
Qwen3.5-4B (ZS),A merger between UPM and Finnish-Swedish Stora Enso is not l,profit | drop | not likely either,1
Qwen3.5-4B (ZS),After 1 April 2007 Cencorp will not have any own employees i,not,0
Qwen3.5-4B (ZS),India 's trade with Russia currently stands at four billion ,rose | up,2
Qwen3.5-4B (ZS),"In the second quarter of 2010 , the group 's pretax loss nar",narrowed,0
Qwen3.5-4B (ZS),"Fiskars , a 360-year-old global business best known for its ",,1
Qwen3.5-4B (ZS),All depends on financing .,all depends on | profit | dropped,2
Qwen3.5-4B (ZS),Products include Consumer Electronics devices such as mobile,include | such as | as | profit | rose | dropped,0
Qwen3.5-4B (ZS),The total amount of subscription prices was recorded in the ,profit | rose | dropped | fund | subscription | total,1
Qwen3.5-4B (ZS),No other ev3 devices were involved in this action .,no | other,0
Qwen3.5-4B (ZS),"The earnings per share for the quarter came in at 0.25 eur ,",up from,1
Qwen3.5-4B (ZS),Increase in the number of shares is based on the option righ,option | rights | is,0
Qwen3.5-4B (ZS),The building will house product development and test laborat,development | will,0
Qwen3.5-4B (ZS),The medium-term operative targets of the company remain unch,neutral | unchanged,0
Qwen3.5-4B (ZS),"Marathon now has a 4.6 percent stake in PLX , it said , acco",4.6 percent stake | it said,3
Qwen3.5-4B (ZS),The decision will have to be made whether the group agrees t,will have to be made,0
Qwen3.5-4B (ZS),Since the registration of the shares subscribed in a directe,shares | rights | issue | rose | dropped,0
Qwen3.5-4B (ZS),Profit after taxes totaled EUR 12.1 mn .,rose | dropped,1
Qwen3.5-4B (ZS),Finnair PLC carried a record 8.8 million passengers in 2006 ,an increase,2
Qwen3.5-4B (ZS),The company operates power plants in the Tyumen and Chelyabi,operates power plants,0
Qwen3.5-4B (ZS),Altogether CapMan employs approximately 150 people in Helsin,employs | approximately,0
Qwen3.5-4B (ZS),"An  of the invention , released by the Patent Office , said ",chambers are pressurized | profit | rise | drop,0
Qwen3.5-4B (ZS),Operating profit of Kauppalehti group rose to EUR 1.5 mn fro,rose,1
Qwen3.5-4B (ZS),The sale price was not disclosed .,profit | drop | not disclosed,0
Qwen3.5-4B (ZS),The beers differ slightly from mainstream beers .,slightly | profit | drop | differ | from,1
Qwen3.5-4B (ZS),"Tecnomen , headquartered in Espoo , Finland , develops messa",headquartered in | Finland,0
Qwen3.5-4B (ZS),The site will cover over six hectares .,cover over six hectares,0
Qwen3.5-4B (ZS),4 February 2011 - Finnish broadband data communication syste,to profit,1
Qwen3.5-4B (ZS),Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46,increased | increased by,0
Qwen3.5-4B (ZS),The company did not distribute a dividend in 2005 .,not | dividend | neutral,0
Qwen3.5-4B (ZS),"With five different game modes , co-op tournaments , 4 playe",,0
Qwen3.5-4B (ZS),Both operating profit and net sales for the six-month period,increased,1
Qwen3.5-4B (ZS),Finnish silicon wafer technology company Okmetic Oyj OMX Hel,positive,0
Qwen3.5-4B (ZS),"Operating loss totalled EUR 4.0 mn , compared to a profit of",operating loss | loss totalled,2
Qwen3.5-4B (ZS),"During the rally , which was authorized by the city administ",neutral | profit | dropped | them | and | letter,1
Qwen3.5-4B (ZS),The invention carries International Patent Publication No. .,,0
Qwen3.5-4B (ZS),A coker crane will be supplied to Tesoro Corporation 's Gold,will be | similar,0
Qwen3.5-4B (ZS),Production capacity will increase from 36 000 to 85 000 tonn,production capacity | recycled paper | rose to,0
Qwen3.5-4B (ZS),The original patent was filed in Finland under application N,filed | Finland,0
Qwen3.5-4B (ZS),Operating profit rose to EUR 26.7 mn from EUR 14.9 mn in the,rose | profit rose | down | dropped,0
Qwen3.5-4B (ZS),Affecto expects its net sales for the whole 2010 to increase,increase,1
Qwen3.5-4B (ZS),Lemminkainen Infra Oy 's subsidiary Lemminkainen Sverige AB ,start | completed | profit | rise,0
Qwen3.5-4B (ZS),ABN : 59 087 901 620 now represent 5.10 % of the voting righ,rose | dropped | ABN | voting rights,0
Qwen3.5-4B (ZS),"Sales in Finland decreased by 2.0 % , and international sale",decreased | decreased by,3
Qwen3.5-4B (ZS),In 2007 Talentum will disclose three Interim Reports - Q1 ( ,profit | dropped | will | disclose,1
Qwen3.5-4B (ZS),Last year 's net sales rose to EUR 68.3 million from EUR 62.,rose,0
Qwen3.5-4B (ZS),"In January-June 2010 , diluted loss per share stood at EUR0 ",diluted loss per share,0
Qwen3.5-4B (ZS),The devices would be launched in the Chinese market in late ,launched | market,0
Qwen3.5-4B (ZS),RFID ( Radio Frequency Identification ) is a method of so-ca,is | information | can,0
Qwen3.5-4B (ZS),These sections will be put into place to form the load-beari,load-bearing | steel structure,2
Qwen3.5-4B (ZS),The value of the deal was not disclosed .,neutral | profit | not disclosed,0
Qwen3.5-4B (ZS),Saunalahti is a part of the Elisa group .,neutral | is a part of | profit | rise | drop,0
Qwen3.5-4B (ZS),The financial statements release will be available after pub,profit | rose | dropped | will be | com,0
Qwen3.5-4B (ZS),The company did not disclose the price of the acquisition .,profit | drop | did not disclose,0
Qwen3.5-4B (ZS),Following this increase Huhtamaki 's registered share capita,dropped to,0
Qwen3.5-4B (ZS),"Prior to the transaction , whose financial terms have not be",disclosed | rose | dropped,0
Qwen3.5-4B (ZS),Operating loss amounted to EUR 0.9 mn in the first half of 2,operating loss,1
Qwen3.5-4B (ZS),"The order also covers design services , hardware , software ",services | covers,0
Qwen3.5-4B (ZS),The machinery now ordered will be placed in a new mill with ,production capacity | mill | profit | rose | dropped,0
Qwen3.5-4B (ZS),Valga Lihatoostus markets its products under the Maks & Moor,markets | trademark,0
Qwen3.5-4B (ZS),These financing arrangements will enable the company to ensu,profit | rose | capital | financing,0
Qwen3.5-4B (ZS),"The firm 's UK head office is in Rugby Road , Lutterworth .",office | head office,0
Qwen3.5-4B (ZS),"In the fourth quarter of 2008 , net sales decreased to EUR 1",decreased,0
Qwen3.5-4B (ZS),"The record date for dividend distribution is March 14 , 2008","March 14, 2008 | dividend | distribution",0
Qwen3.5-4B (ZS),Fortum expects its annual capital expenditure in the next fo,rose | dropped | within a range,1
Qwen3.5-4B (ZS),Neste Oil will publish its third quarter 2008 results on Fri,profit | rose | dropped,0
Qwen3.5-4B (ZS),"Honkarakenne also decided yesterday to sell 88,500 of its B-",profit | drop | sell,1
Qwen3.5-4B (ZS),The utility will also provide services related to electricit,and | such as,2
Qwen3.5-4B (ZS),Foodservice and consumer goods markets are served by approxi,approximately | offices,0
Qwen3.5-4B (ZS),Diluted EPS rose to EUR3 .68 from EUR0 .50 .,rose to,1
Qwen3.5-4B (ZS),LONDON MarketWatch -- Nokia nok said it 's won a five-year s,won,0
Qwen3.5-4B (ZS),The ECB can mainly target inflation .,can mainly target inflation,0
Qwen3.5-4B (ZS),"Operating loss was EUR 179mn , compared to a loss of EUR 188",operating loss | loss,0
Qwen3.5-4B (ZS),Some of the most recent technology deliveries include refine,profit | rose | dropped | deliveries | include,1
Qwen3.5-4B (ZS),IonPhasE 's second major owner is venture capital firm Aura ,is | profit | drop,1
Qwen3.5-4B (ZS),"In Sweden , operating profit for the period under review tot",up | operating profit... up,2
Qwen3.5-4B (ZS),The transaction included also the transfer of the lease agre,transfer | included,0
Qwen3.5-4B (ZS),Foundries division reports its sales increased by 9.7 % to E,increased | increased by,0
Qwen3.5-4B (ZS),Both operating profit and net sales for the three-month peri,increased,2
Qwen3.5-4B (ZS),This will bring cost savings of about EUR 3mn a year .,cost savings | savings,2
Qwen3.5-4B (ZS),"Food sales totalled EUR 323.5 mn in October 2009 , represent",decrease,1
Qwen3.5-4B (ZS),The company had net sales of EUR 19.8 mn and a pre-tax profi,rose | dropped,2
Qwen3.5-4B (ZS),"Paychex has more than 100 offices serving approximately 554,",profit | dropped | 100 offices,1
Qwen3.5-4B (ZS),"Citigroup , Inc ( NYSE : C ) has announced that its Global T",rose to | business | finland,0
